SubBlock,BlockID,parameter,R0,R1,defval_mask,param_mask,param_minbit,reg_mask,reg_id
DigitalHalf,0,Adc_TH,96,37,0,15,0,240,0
DigitalHalf,0,ByPassCh0,102,37,0,1,0,16,0
DigitalHalf,0,ByPassCh17,102,37,0,1,0,32,0
DigitalHalf,0,ByPassCh35,102,37,0,1,0,64,0
DigitalHalf,0,CmdSelEdge,96,37,4,1,0,4,0
DigitalHalf,0,IdleFrame,99,37,204,255,0,255,0
DigitalHalf,0,IdleFrame,100,37,204,65280,8,255,1
DigitalHalf,0,IdleFrame,101,37,204,16711680,16,255,2
DigitalHalf,0,IdleFrame,102,37,12,251658240,24,15,3
DigitalHalf,0,L1Offset,97,37,0,256,8,128,0
DigitalHalf,0,L1Offset,98,37,8,255,0,255,1
DigitalHalf,0,MultFactor,97,37,25,31,0,31,0
DigitalHalf,0,SelRawData,96,37,1,1,0,1,0
DigitalHalf,0,SelTC4,96,37,2,1,0,2,0
DigitalHalf,0,Tot_P0,107,37,0,127,0,127,0
DigitalHalf,0,Tot_P1,108,37,0,127,0,127,0
DigitalHalf,0,Tot_P2,109,37,0,127,0,127,0
DigitalHalf,0,Tot_P3,110,37,0,127,0,127,0
DigitalHalf,0,Tot_TH0,103,37,0,255,0,255,0
DigitalHalf,0,Tot_TH1,104,37,0,255,0,255,0
DigitalHalf,0,Tot_TH2,105,37,0,255,0,255,0
DigitalHalf,0,Tot_TH3,106,37,0,255,0,255,0
DigitalHalf,1,Adc_TH,96,5,0,15,0,240,0
DigitalHalf,1,ByPassCh0,102,5,0,1,0,16,0
DigitalHalf,1,ByPassCh17,102,5,0,1,0,32,0
DigitalHalf,1,ByPassCh35,102,5,0,1,0,64,0
DigitalHalf,1,CmdSelEdge,96,5,4,1,0,4,0
DigitalHalf,1,IdleFrame,99,5,204,255,0,255,0
DigitalHalf,1,IdleFrame,100,5,204,65280,8,255,1
DigitalHalf,1,IdleFrame,101,5,204,16711680,16,255,2
DigitalHalf,1,IdleFrame,102,5,12,251658240,24,15,3
DigitalHalf,1,L1Offset,97,5,0,256,8,128,0
DigitalHalf,1,L1Offset,98,5,8,255,0,255,1
DigitalHalf,1,MultFactor,97,5,25,31,0,31,0
DigitalHalf,1,SelRawData,96,5,1,1,0,1,0
DigitalHalf,1,SelTC4,96,5,2,1,0,2,0
DigitalHalf,1,Tot_P0,107,5,0,127,0,127,0
DigitalHalf,1,Tot_P1,108,5,0,127,0,127,0
DigitalHalf,1,Tot_P2,109,5,0,127,0,127,0
DigitalHalf,1,Tot_P3,110,5,0,127,0,127,0
DigitalHalf,1,Tot_TH0,103,5,0,255,0,255,0
DigitalHalf,1,Tot_TH1,104,5,0,255,0,255,0
DigitalHalf,1,Tot_TH2,105,5,0,255,0,255,0
DigitalHalf,1,Tot_TH3,106,5,0,255,0,255,0
GlobalAnalog,0,Cf,41,37,4,15,0,15,0
GlobalAnalog,0,Cf_comp,40,37,32,3,0,48,0
GlobalAnalog,0,Clr_ADC,42,37,0,1,0,16,0
GlobalAnalog,0,Clr_ShaperTail,42,37,0,1,0,2,0
GlobalAnalog,0,Dac_itot,34,37,192,63,0,252,0
GlobalAnalog,0,Dac_vbi_pa,33,37,128,63,0,252,0
GlobalAnalog,0,Dac_vbo_pa,32,37,128,63,0,252,0
GlobalAnalog,0,Delay40,45,37,0,7,0,28,0
GlobalAnalog,0,Delay65,45,37,0,7,0,224,0
GlobalAnalog,0,Delay87,46,37,0,7,0,28,0
GlobalAnalog,0,Delay9,46,37,0,7,0,224,0
GlobalAnalog,0,En_hyst_tot,40,37,8,1,0,8,0
GlobalAnalog,0,Ibi_inv,36,37,0,3,0,3,0
GlobalAnalog,0,Ibi_inv_buf,38,37,3,3,0,3,0
GlobalAnalog,0,Ibi_noinv,37,37,0,3,0,3,0
GlobalAnalog,0,Ibi_noinv_buf,39,37,3,3,0,3,0
GlobalAnalog,0,Ibi_sk,35,37,0,3,0,3,0
GlobalAnalog,0,Ibo_inv,36,37,40,63,0,252,0
GlobalAnalog,0,Ibo_inv_buf,38,37,152,63,0,252,0
GlobalAnalog,0,Ibo_noinv,37,37,40,63,0,252,0
GlobalAnalog,0,Ibo_noinv_buf,39,37,152,63,0,252,0
GlobalAnalog,0,Ibo_sk,35,37,40,63,0,252,0
GlobalAnalog,0,Neg,40,37,64,1,0,64,0
GlobalAnalog,0,ON_pa,32,37,2,1,0,2,0
GlobalAnalog,0,ON_ref_adc,46,37,1,1,0,1,0
GlobalAnalog,0,ON_rtr,33,37,1,1,0,1,0
GlobalAnalog,0,ON_time,33,37,2,1,0,2,0
GlobalAnalog,0,ON_toa,34,37,1,1,0,1,0
GlobalAnalog,0,ON_tot,34,37,2,1,0,2,0
GlobalAnalog,0,Pol_adc,46,37,2,1,0,2,0
GlobalAnalog,0,Pol_trig_toa,40,37,128,1,0,128,0
GlobalAnalog,0,Rc,40,37,1,3,0,3,0
GlobalAnalog,0,Ref_adc,45,37,0,3,0,3,0
GlobalAnalog,0,Rf,41,37,80,15,0,240,0
GlobalAnalog,0,S_inv,43,37,8,7,0,28,0
GlobalAnalog,0,S_inv_buf,44,37,24,7,0,28,0
